X Y Z CUT_FLAG
0.386066 0.298056 0.000000 1
0.385613 0.298278 0.000000 1
0.385310 0.298454 0.000000 1
0.385062 0.298624 0.000000 1
0.384788 0.298844 0.000000 1
0.384489 0.299116 0.000000 1
0.384133 0.299476 0.000000 1
0.383831 0.299815 0.000000 1
0.383584 0.300132 0.000000 1
0.383389 0.300424 0.000000 1
0.383191 0.300774 0.000000 1
0.382997 0.301185 0.000000 1
0.382810 0.301655 0.000000 1
0.382686 0.302040 0.000000 1
0.382579 0.302531 0.000000 1
0.382537 0.302981 0.000000 1
0.382500 0.303887 0.000000 1
0.382510 0.305250 0.000000 1
0.382450 0.306916 0.000000 1
0.382432 0.308431 0.000000 1
0.382328 0.310398 0.000000 1
0.382274 0.312215 0.000000 1
0.382138 0.314332 0.000000 1
0.382040 0.316602 0.000000 1
0.381871 0.318869 0.000000 1
0.381752 0.321290 0.000000 1
0.381605 0.323406 0.000000 1
0.381517 0.325677 0.000000 1
0.381393 0.327794 0.000000 1
0.381357 0.329461 0.000000 1
0.381280 0.331125 0.000000 1
0.381250 0.334004 0.000000 1
0.381250 0.343750 0.000000 1
0.378329 0.343668 0.000000 1
0.376723 0.343601 0.000000 1
0.375119 0.343501 0.000000 1
0.373372 0.343351 0.000000 1
0.369591 0.342980 0.000000 1
0.367849 0.342787 0.000000 1
0.362489 0.342079 0.000000 1
0.360464 0.341790 0.000000 1
0.358157 0.341410 0.000000 1
0.352402 0.340391 0.000000 1
0.323750 0.334980 0.000000 1
0.323759 0.333293 0.000000 1
0.323702 0.331606 0.000000 1
0.323675 0.329581 0.000000 1
0.323581 0.327727 0.000000 1
0.323522 0.325534 0.000000 1
0.323382 0.323175 0.000000 1
0.323300 0.320983 0.000000 1
0.323119 0.318288 0.000000 1
0.323005 0.315759 0.000000 1
0.322855 0.313401 0.000000 1
0.322766 0.310871 0.000000 1
0.322653 0.308849 0.000000 1
0.322607 0.306656 0.000000 1
0.322530 0.304801 0.000000 1
0.322500 0.301426 0.000000 1
0.322462 0.300517 0.000000 1
0.322427 0.300115 0.000000 1
0.322364 0.299767 0.000000 1
0.322256 0.299377 0.000000 1
0.322099 0.298947 0.000000 1
0.321868 0.298440 0.000000 1
0.321596 0.297955 0.000000 1
0.321284 0.297496 0.000000 1
