X Y
-83.840551 549.026728
-83.776495 548.892183
-83.713848 548.756983
-83.652708 548.621083
-83.593172 548.484444
-83.535259 548.347072
-83.478943 548.209002
-83.424195 548.070272
-83.370987 547.930917
-83.319291 547.790974
-83.269078 547.650480
-83.220321 547.509471
-83.172992 547.367985
-83.127061 547.226056
-83.082502 547.083723
-83.039286 546.941021
-82.997380 546.797984
-82.956722 546.654630
-82.917244 546.510970
-82.878875 546.367017
-82.841546 546.222782
-82.805187 546.078278
-82.769729 545.933516
-82.735100 545.788509
-82.701233 545.643268
-82.668057 545.497807
-82.635502 545.352135
-82.603499 545.206267
-82.572042 545.060210
-82.541315 544.913962
-82.511531 544.767519
-82.482907 544.620877
-82.455658 544.474033
-82.430000 544.326982
-82.406148 544.179721
-82.384317 544.032245
-82.364724 543.884551
-82.347583 543.736635
-82.333110 543.588492
-82.321521 543.440120
-82.312867 543.291523
-82.306764 543.142733
-82.302756 542.993783
-82.300387 542.844708
-82.299201 542.695543
-82.298742 542.546324
-82.298554 542.397083
-82.298181 542.247857
-82.297166 542.098679
-82.295054 541.949585
-82.291389 541.800609
-82.285714 541.651786
-82.288222 541.547139
-82.290120 541.442466
-82.291520 541.337771
-82.292537 541.233059
-82.293284 541.128335
-82.293875 541.023604
-82.294423 540.918871
-82.295042 540.814142
-82.295845 540.709421
-82.296946 540.604712
-82.298459 540.500022
-82.300498 540.395355
-82.303175 540.290716
-82.306605 540.186110
-82.310891 540.081541
-82.316044 539.977012
-82.322015 539.872520
-82.328755 539.768066
-82.336216 539.663648
-82.344347 539.559266
-82.353100 539.454917
-82.362427 539.350603
-82.372277 539.246321
-82.382603 539.142072
-82.393356 539.037853
-82.404485 538.933664
-82.415943 538.829505
-82.427680 538.725374
-82.439653 538.621271
-82.451872 538.517201
-82.464378 538.413173
-82.477211 538.309194
-82.490411 538.205273
-82.504020 538.101419
-82.518079 537.997639
-82.532627 537.893943
-82.547705 537.790337
-82.563355 537.686831
-82.579616 537.583433
-82.596530 537.480150
-82.614137 537.376992
-82.632478 537.273967
-82.651564 537.171077
-82.671352 537.068315
-82.691794 536.965671
-82.712839 536.863137
-82.734440 536.760705
-82.756545 536.658364
-82.779106 536.556106
-82.802074 536.453923
-82.825399 536.351804
-82.849032 536.249743
-82.872924 536.147728
-82.897025 536.045752
-82.921286 535.943806
-82.945701 535.841892
-82.970338 535.740034
-82.995270 535.638255
-83.020574 535.536580
-83.046323 535.435034
-83.072592 535.333641
-83.099456 535.232426
-83.126990 535.131414
-83.155268 535.030629
-83.184366 534.930095
-83.214358 534.829838
-83.245318 534.729882
-83.277313 534.630249
-83.310328 534.530938
-83.344310 534.431937
-83.379203 534.333233
-83.414954 534.234816
-83.451507 534.136671
-83.488810 534.038787
-83.526807 533.941151
-83.565444 533.843753
-83.604667 533.746578
-83.644421 533.649615
-83.684652 533.552851
-83.725308 533.456276
-83.766374 533.359888
-83.807871 533.263700
-83.849819 533.167723
-83.892239 533.071967
-83.935153 532.976444
-83.978580 532.881166
-84.022544 532.786144
-84.067063 532.691389
-84.112160 532.596912
-84.157855 532.502725
-84.204169 532.408840
-84.251122 532.315266
-84.298724 532.222013
-84.346979 532.129089
-84.395887 532.036501
