X Y
312.497149 394.172164
312.502699 394.328951
312.507081 394.485757
312.509973 394.642588
312.511200 394.799447
312.511027 394.956331
312.509804 395.113233
312.507880 395.270147
312.505606 395.427067
312.503331 395.583988
312.501405 395.740902
312.500178 395.897804
312.500000 396.054688
312.504212 396.105118
312.507874 396.155620
312.511037 396.206188
312.513755 396.256813
312.516079 396.307491
312.518062 396.358213
312.519756 396.408972
312.521212 396.459763
312.522484 396.510578
312.523623 396.561410
312.524681 396.612253
312.525711 396.663100
312.526764 396.713943
312.527894 396.764777
312.529151 396.815593
312.530590 396.866387
312.532260 396.917149
312.534215 396.967875
312.536507 397.018556
312.539188 397.069187
312.542311 397.119760
312.545926 397.170268
312.550088 397.220705
312.554847 397.271064
312.560256 397.321338
312.566367 397.371520
312.573214 397.421604
312.580783 397.471591
312.589055 397.521479
312.598009 397.571267
312.607624 397.620955
312.617880 397.670542
312.628757 397.720028
312.640234 397.769411
312.652290 397.818693
312.664907 397.867870
312.678062 397.916945
312.691735 397.965914
312.705907 398.014779
312.720557 398.063538
312.735663 398.112190
312.751207 398.160736
312.767167 398.209174
312.783524 398.257505
312.800255 398.305726
312.817343 398.353838
312.834764 398.401840
312.852501 398.449731
312.870531 398.497512
312.888835 398.545180
312.907392 398.592736
312.926185 398.640179
312.945216 398.687503
312.964495 398.734702
312.984029 398.781771
313.003827 398.828704
313.023899 398.875494
313.044252 398.922137
313.064895 398.968625
313.085837 399.014952
313.107086 399.061114
313.128652 399.107103
313.150542 399.152914
313.172766 399.198542
313.195331 399.243979
313.218248 399.289220
313.241524 399.334259
313.265168 399.379090
313.289188 399.423707
313.313594 399.468104
313.338393 399.512276
313.363596 399.556215
313.389209 399.599917
313.415242 399.643375
313.441704 399.686583
313.468603 399.729536
313.495942 399.772228
313.523718 399.814657
313.551923 399.856822
313.580551 399.898720
313.609595 399.940350
313.639050 399.981709
313.668908 400.022796
313.699163 400.063609
313.729808 400.104145
313.760838 400.144403
313.792245 400.184381
313.824024 400.224077
313.856167 400.263489
313.888669 400.302614
313.921523 400.341452
313.954722 400.380000
313.988260 400.418257
314.022131 400.456219
314.056328 400.493886
314.090844 400.531255
314.125673 400.568325
314.160810 400.605093
314.196246 400.641558
314.231977 400.677717
314.267994 400.713569
314.304294 400.749115
314.340871 400.784357
314.377721 400.819298
314.414840 400.853941
314.452222 400.888288
314.489863 400.922344
314.527759 400.956109
314.565906 400.989588
314.604298 401.022784
314.642930 401.055698
314.681800 401.088334
314.720901 401.120694
314.760230 401.152782
314.799781 401.184600
314.839551 401.216151
314.879535 401.247439
314.919728 401.278465
314.960125 401.309232
315.000723 401.339744
315.041516 401.370004
315.082500 401.400013
315.123670 401.429775
315.165023 401.459293
315.206553 401.488570
315.248257 401.517605
315.290137 401.546390
315.332197 401.574914
315.374439 401.603166
315.416866 401.631135
315.459481 401.658813
315.502287 401.686186
315.545286 401.713246
315.588482 401.739982
315.631878 401.766382
315.675475 401.792437
315.719278 401.818136
