X Y Z V C
728.267070 294.724437 150.000000 0.541828 1
728.465800 294.746946 150.000000 0.548016 1
728.664529 294.769455 150.000000 0.554238 1
728.863258 294.791963 150.000000 0.560494 1
729.061988 294.814472 150.000000 0.566785 1
729.260717 294.836981 150.000000 0.573109 1
729.459185 294.861607 150.000000 0.579468 1
729.657426 294.888076 150.000000 0.585861 1
729.855667 294.914545 150.000000 0.592287 1
730.053908 294.941013 150.000000 0.598748 1
730.252148 294.967482 150.000000 0.605242 1
730.450389 294.993951 150.000000 0.611771 1
730.648630 295.020419 150.000000 0.618333 1
730.846871 295.046888 150.000000 0.624930 1
731.045111 295.073357 150.000000 0.631560 1
731.243352 295.099825 150.000000 0.638224 1
731.441473 295.127134 150.000000 0.644922 1
731.639209 295.157145 150.000000 0.651653 1
731.836944 295.187156 150.000000 0.658419 1
732.034680 295.217166 150.000000 0.665218 1
732.232416 295.247177 150.000000 0.672051 1
732.430151 295.277188 150.000000 0.678917 1
732.627887 295.307198 150.000000 0.685817 1
732.825622 295.337209 150.000000 0.692751 1
733.023358 295.367220 150.000000 0.699719 1
733.221093 295.397231 150.000000 0.706720 1
733.418829 295.427241 150.000000 0.713754 1
733.616230 295.459373 150.000000 0.720822 1
733.813610 295.491641 150.000000 0.727924 1
734.010990 295.523908 150.000000 0.735059 1
734.208370 295.556176 150.000000 0.742228 1
734.405750 295.588444 150.000000 0.749430 1
734.603129 295.620711 150.000000 0.756666 1
734.800509 295.652979 150.000000 0.763934 1
734.997889 295.685246 150.000000 0.771237 1
735.195269 295.717514 150.000000 0.778572 1
735.392649 295.749782 150.000000 0.785941 1
735.590029 295.782049 150.000000 0.793343 1
735.787408 295.814317 150.000000 0.800779 1
735.984788 295.846585 150.000000 0.808247 1
736.182168 295.878852 150.000000 0.815749 1
736.379548 295.911120 150.000000 0.823284 1
736.576928 295.943388 150.000000 0.830852 1
736.774308 295.975655 150.000000 0.838454 1
736.971687 296.007923 150.000000 0.846088 1
737.169067 296.040191 150.000000 0.853756 1
737.366447 296.072458 150.000000 0.861456 1
737.563827 296.104726 150.000000 0.869189 1
737.761207 296.136994 150.000000 0.876956 1
737.958587 296.169261 150.000000 0.884755 1
738.155966 296.201529 150.000000 0.892588 1
738.353346 296.233796 150.000000 0.900453 1
738.550726 296.266064 150.000000 0.908351 1
738.747970 296.299127 150.000000 0.916282 1
738.944877 296.334165 150.000000 0.924246 1
739.141784 296.369203 150.000000 0.932242 1
739.338691 296.404240 150.000000 0.940272 1
739.535598 296.439278 150.000000 0.948334 1
739.732505 296.474316 150.000000 0.956428 1
739.929412 296.509353 150.000000 0.964556 1
740.126319 296.544391 150.000000 0.972716 1
740.323226 296.579428 150.000000 0.980908 1
740.520133 296.614466 150.000000 0.989134 1
740.717040 296.649504 150.000000 0.997391 1
740.913947 296.684541 150.000000 1.005682 1
741.110854 296.719579 150.000000 1.014004 1
741.307761 296.754616 150.000000 1.022360 1
741.504668 296.789654 150.000000 1.030747 1
741.701575 296.824692 150.000000 1.039167 1
741.898482 296.859729 150.000000 1.047620 1
742.095389 296.894767 150.000000 1.056104 1
742.291907 296.931889 150.000000 1.064622 1
742.488209 296.970172 150.000000 1.073171 1
742.684511 297.008455 150.000000 1.081752 1
742.880813 297.046738 150.000000 1.090366 1
743.077115 297.085021 150.000000 1.099012 1
743.273416 297.123304 150.000000 1.107690 1
743.469718 297.161587 150.000000 1.116401 1
743.666020 297.199870 150.000000 1.125143 1
743.862322 297.238154 150.000000 1.133917 1
744.058624 297.276437 150.000000 1.142724 1
744.254742 297.315626 150.000000 1.151562 1
744.450428 297.356938 150.000000 1.160432 1
744.646115 297.398250 150.000000 1.169335 1
744.841802 297.439562 150.000000 1.178269 1
745.037489 297.480874 150.000000 1.187235 1
745.233175 297.522187 150.000000 1.196233 1
745.428862 297.563499 150.000000 1.205262 1
745.624549 297.604811 150.000000 1.214324 1
745.820236 297.646123 150.000000 1.223417 1
746.015922 297.687435 150.000000 1.232542 1
