X Y Z V
499.330469 25.869330 190.816327 50.000000
499.330469 25.869330 189.795918 50.000000
499.330469 25.869330 188.775510 50.000000
499.330469 25.869330 187.755102 50.000000
499.330469 25.869330 186.734694 50.000000
499.330469 25.869330 185.714286 50.000000
499.330469 25.869330 184.693878 50.000000
499.330469 25.869330 183.673469 50.000000
499.330469 25.869330 182.653061 50.000000
499.330469 25.869330 181.632653 50.000000
499.330469 25.869330 180.612245 50.000000
499.330469 25.869330 179.591837 50.000000
499.330469 25.869330 178.571429 50.000000
499.330469 25.869330 177.551020 50.000000
499.330469 25.869330 176.530612 50.000000
499.330469 25.869330 175.510204 50.000000
499.330469 25.869330 174.489796 50.000000
499.330469 25.869330 173.469388 50.000000
499.330469 25.869330 172.448980 50.000000
499.330469 25.869330 171.428571 50.000000
499.330469 25.869330 170.408163 50.000000
499.330469 25.869330 169.387755 50.000000
499.330469 25.869330 168.367347 50.000000
499.330469 25.869330 167.346939 50.000000
499.330469 25.869330 166.326531 50.000000
499.330469 25.869330 165.306122 50.000000
499.330469 25.869330 164.285714 50.000000
499.330469 25.869330 163.265306 50.000000
499.330469 25.869330 162.244898 50.000000
499.330469 25.869330 161.224490 50.000000
499.330469 25.869330 160.204082 50.000000
499.330469 25.869330 159.183673 50.000000
499.330469 25.869330 158.163265 50.000000
499.330469 25.869330 157.142857 50.000000
499.330469 25.869330 156.122449 50.000000
499.330469 25.869330 155.102041 50.000000
499.330469 25.869330 154.081633 50.000000
499.330469 25.869330 153.061224 50.000000
499.330469 25.869330 152.040816 50.000000
499.330469 25.869330 151.020408 50.000000
499.330469 25.869330 150.000000 50.000000
499.330469 25.869330 150.000000 0.000000
499.690324 24.936338 150.000000 1.909830
500.041440 24.000011 150.000000 6.909830
500.416239 23.072948 150.000000 13.090170
500.790678 22.145741 150.000000 18.090170
501.145833 21.210938 150.000000 20.000000
501.145833 21.210938 150.000000 50.000000
501.145833 21.210938 151.020408 50.000000
501.145833 21.210938 152.040816 50.000000
501.145833 21.210938 153.061224 50.000000
501.145833 21.210938 154.081633 50.000000
501.145833 21.210938 155.102041 50.000000
501.145833 21.210938 156.122449 50.000000
501.145833 21.210938 157.142857 50.000000
501.145833 21.210938 158.163265 50.000000
501.145833 21.210938 159.183673 50.000000
