X Y Z V
320.053682 296.185554 150.000000 0.473646
319.208485 295.655165 150.000000 0.642832
318.289698 295.261421 150.000000 0.836831
317.318414 295.038310 150.000000 1.055129
316.319124 295.005764 150.000000 1.297148
315.320121 295.032773 150.000000 1.562244
314.339122 295.208952 150.000000 1.849717
313.418798 295.597426 150.000000 2.158802
312.568917 296.122286 150.000000 2.488681
311.815346 296.778137 150.000000 2.838478
311.167280 297.538420 150.000000 3.207267
310.657843 298.397420 150.000000 3.594068
310.275921 299.321026 150.000000 3.997857
310.052743 300.293307 150.000000 4.417563
310.011444 301.292273 150.000000 4.852072
310.010881 302.291769 150.000000 5.300233
310.022756 303.291694 150.000000 5.760856
310.022492 304.291691 150.000000 6.232721
310.026874 305.291667 150.000000 6.714576
310.055459 306.291233 150.000000 7.205144
310.094384 307.290475 150.000000 7.703123
310.118693 308.290158 150.000000 8.207192
310.129829 309.290096 150.000000 8.716016
310.149276 310.289889 150.000000 9.228245
310.189968 311.289048 150.000000 9.742521
310.238774 312.287856 150.000000 10.257479
310.277783 313.287082 150.000000 10.771755
310.302797 314.286766 150.000000 11.283984
310.326704 315.286478 150.000000 11.792808
310.363080 316.285803 150.000000 12.296877
310.413671 317.284519 150.000000 12.794856
310.467419 318.283073 150.000000 13.285424
310.513022 319.282025 150.000000 13.767279
310.547330 320.281433 150.000000 14.239144
310.579160 321.280926 150.000000 14.699767
310.618534 322.280144 150.000000 15.147928
310.671023 323.278761 150.000000 15.582437
310.728629 324.277100 150.000000 16.002143
310.780524 325.275747 150.000000 16.405932
310.817631 326.275048 150.000000 16.792733
310.845153 327.274669 150.000000 17.161522
310.874936 328.274222 150.000000 17.511319
310.917507 329.273305 150.000000 17.841198
310.968854 330.271986 150.000000 18.150283
311.014789 331.270923 150.000000 18.437756
311.043081 332.270507 150.000000 18.702852
311.060701 333.270352 150.000000 18.944871
311.084965 334.270046 150.000000 19.163169
311.126297 335.269185 150.000000 19.357168
311.168400 336.268293 150.000000 19.526354
311.189853 337.268029 150.000000 19.670277
311.194320 338.268018 150.000000 19.788557
311.208518 339.267894 150.000000 19.880879
311.240888 340.267368 150.000000 19.946999
311.261152 341.267125 150.000000 19.986741
311.254569 342.267092 150.000000 20.000000
311.254569 342.267092 150.000000 50.000000
311.254569 342.267092 151.020408 50.000000
311.254569 342.267092 152.040816 50.000000
311.254569 342.267092 153.061224 50.000000
311.254569 342.267092 154.081633 50.000000
311.254569 342.267092 155.102041 50.000000
311.254569 342.267092 156.122449 50.000000
311.254569 342.267092 157.142857 50.000000
311.254569 342.267092 158.163265 50.000000
311.254569 342.267092 159.183673 50.000000
311.254569 342.267092 160.204082 50.000000
311.254569 342.267092 161.224490 50.000000
311.254569 342.267092 162.244898 50.000000
311.254569 342.267092 163.265306 50.000000
311.254569 342.267092 164.285714 50.000000
311.254569 342.267092 165.306122 50.000000
311.254569 342.267092 166.326531 50.000000
311.254569 342.267092 167.346939 50.000000
311.254569 342.267092 168.367347 50.000000
311.254569 342.267092 169.387755 50.000000
311.254569 342.267092 170.408163 50.000000
311.254569 342.267092 171.428571 50.000000
311.254569 342.267092 172.448980 50.000000
311.254569 342.267092 173.469388 50.000000
311.254569 342.267092 174.489796 50.000000
311.254569 342.267092 175.510204 50.000000
311.254569 342.267092 176.530612 50.000000
311.254569 342.267092 177.551020 50.000000
311.254569 342.267092 178.571429 50.000000
311.254569 342.267092 179.591837 50.000000
311.254569 342.267092 180.612245 50.000000
311.254569 342.267092 181.632653 50.000000
