X Y Z CORTAR
373.301776 717.673278 0.000 1
372.135760 716.180306 0.000 1
371.017457 714.651269 0.000 1
369.947980 713.087691 0.000 1
368.928396 711.491130 0.000 1
367.959721 709.863178 0.000 1
367.042921 708.205458 0.000 1
366.178910 706.519621 0.000 1
365.368549 704.807350 0.000 1
364.612646 703.070350 0.000 1
363.911954 701.310353 0.000 1
363.267172 699.529114 0.000 1
362.678943 697.728407 0.000 1
362.147852 695.910028 0.000 1
361.674430 694.075790 0.000 1
361.259148 692.227521 0.000 1
360.902420 690.367063 0.000 1
360.604601 688.496271 0.000 1
360.365990 686.617010 0.000 1
360.186823 684.731153 0.000 1
360.067278 682.840579 0.000 1
360.007477 680.947175 0.000 1
360.007477 679.052825 0.000 1
360.067278 677.159421 0.000 1
360.186823 675.268847 0.000 1
360.365990 673.382990 0.000 1
360.604601 671.503729 0.000 1
360.902420 669.632937 0.000 1
361.259148 667.772479 0.000 1
361.674430 665.924210 0.000 1
362.147852 664.089972 0.000 1
362.678943 662.271593 0.000 1
363.267172 660.470886 0.000 1
363.911954 658.689647 0.000 1
364.612646 656.929650 0.000 1
365.368549 655.192650 0.000 1
366.178910 653.480379 0.000 1
367.042921 651.794542 0.000 1
367.959721 650.136822 0.000 1
368.928396 648.508870 0.000 1
369.947980 646.912309 0.000 1
371.017457 645.348731 0.000 1
372.135760 643.819694 0.000 1
373.301776 642.326722 0.000 1
374.514342 640.871303 0.000 1
375.772249 639.454889 0.000 1
377.074243 638.078891 0.000 1
378.419026 636.744681 0.000 1
379.805258 635.453589 0.000 1
381.231557 634.206902 0.000 1
382.696501 633.005862 0.000 1
384.198631 631.851667 0.000 1
385.736448 630.745467 0.000 1
387.308419 629.688366 0.000 1
388.912978 628.681416 0.000 1
390.548526 627.725621 0.000 1
392.213431 626.821935 0.000 1
393.906034 625.971258 0.000 1
395.624649 625.174438 0.000 1
397.367561 624.432269 0.000 1
399.133034 623.745491 0.000 1
400.919308 623.114789 0.000 1
402.724601 622.540792 0.000 1
404.547116 622.024071 0.000 1
406.385033 621.565142 0.000 1
408.236523 621.164461 0.000 1
410.099739 620.822430 0.000 1
411.972823 620.539388 0.000 1
413.853909 620.315617 0.000 1
415.741122 620.151341 0.000 1
417.632580 620.046724 0.000 1
419.526398 620.001869 0.000 1
421.420688 620.016822 0.000 1
423.313562 620.091567 0.000 1
425.203133 620.226031 0.000 1
427.087517 620.420078 0.000 1
428.964836 620.673516 0.000 1
430.833219 620.986092 0.000 1
432.690803 621.357494 0.000 1
434.535737 621.787352 0.000 1
436.366181 622.275238 0.000 1
438.180311 622.820665 0.000 1
439.976318 623.423090 0.000 1
441.752413 624.081912 0.000 1
443.506824 624.796475 0.000 1
445.237803 625.566065 0.000 1
446.943625 626.389916 0.000 1
448.622588 627.267207 0.000 1
450.273020 628.197063 0.000 1
451.893276 629.178558 0.000 1
453.481739 630.210712 0.000 1
455.036827 631.292498 0.000 1
456.556989 632.422836 0.000 1
458.040711 633.600600 0.000 1
459.486513 634.824616 0.000 1
460.892954 636.093664 0.000 1
462.258632 637.406479 0.000 1
463.582185 638.761751 0.000 1
464.862295 640.158131 0.000 1
466.097685 641.594227 0.000 1
467.287124 643.068606 0.000 1
468.429426 644.579798 0.000 1
469.523453 646.126299 0.000 1
470.568113 647.706566 0.000 1
471.562367 649.319023 0.000 1
472.505221 650.962064 0.000 1
473.395738 652.634050 0.000 1
474.233028 654.333316 0.000 1
475.016258 656.058167 0.000 1
475.744646 657.806883 0.000 1
476.417467 659.577722 0.000 1
477.034049 661.368918 0.000 1
477.593779 663.178686 0.000 1
478.096098 665.005222 0.000 1
478.540506 666.846705 0.000 1
478.926559 668.701300 0.000 1
479.253873 670.567157 0.000 1
479.522122 672.442418 0.000 1
479.731037 674.325212 0.000 1
