X Y Z CORTAR
311.234787 340.082534 0.000 1
311.241682 340.291413 0.000 1
311.248012 340.500296 0.000 1
311.253459 340.709189 0.000 1
311.257704 340.918096 0.000 1
311.260431 341.127022 0.000 1
311.261507 341.335970 0.000 1
311.261217 341.544936 0.000 1
311.259908 341.753914 0.000 1
311.257925 341.962902 0.000 1
311.255614 342.171893 0.000 1
311.253320 342.380885 0.000 1
311.251390 342.589871 0.000 1
311.250168 342.798849 0.000 1
311.250000 343.007813 0.000 1
311.250000 364.863281 0.000 1
311.252078 365.020172 0.000 1
311.254650 365.177054 0.000 1
311.257552 365.333930 0.000 1
311.260624 365.490802 0.000 1
311.263702 365.647675 0.000 1
311.266624 365.804550 0.000 1
311.269227 365.961431 0.000 1
311.271349 366.118322 0.000 1
311.272828 366.275224 0.000 1
311.273539 366.432140 0.000 1
311.273610 366.589068 0.000 1
311.273272 366.746002 0.000 1
311.272759 366.902935 0.000 1
311.272302 367.059864 0.000 1
311.272136 367.216783 0.000 1
311.272492 367.373685 0.000 1
311.273602 367.530567 0.000 1
311.275700 367.687422 0.000 1
311.279017 367.844245 0.000 1
311.283710 368.001033 0.000 1
311.289618 368.157791 0.000 1
311.296500 368.314525 0.000 1
311.304113 368.471243 0.000 1
311.312216 368.627951 0.000 1
311.320567 368.784657 0.000 1
311.328926 368.941367 0.000 1
311.337049 369.098088 0.000 1
311.344697 369.254827 0.000 1
311.351626 369.411592 0.000 1
311.357596 369.568389 0.000 1
311.362466 369.725221 0.000 1
311.366386 369.882084 0.000 1
311.369556 370.038970 0.000 1
311.372177 370.195872 0.000 1
311.374449 370.352782 0.000 1
311.376573 370.509694 0.000 1
311.378749 370.666600 0.000 1
311.381178 370.823493 0.000 1
311.384060 370.980366 0.000 1
311.387595 371.137212 0.000 1
311.391985 371.294024 0.000 1
311.397429 371.450793 0.000 1
311.404025 371.607518 0.000 1
311.411641 371.764204 0.000 1
311.420114 371.920857 0.000 1
311.429279 372.077484 0.000 1
311.438973 372.234092 0.000 1
311.449032 372.390689 0.000 1
311.459293 372.547280 0.000 1
311.469591 372.703873 0.000 1
311.479763 372.860475 0.000 1
311.489644 373.017092 0.000 1
311.499072 373.173731 0.000 1
311.507882 373.330399 0.000 1
311.515912 373.487103 0.000 1
311.523086 373.643846 0.000 1
311.529513 373.800622 0.000 1
311.535320 373.957426 0.000 1
311.540636 374.114251 0.000 1
311.545588 374.271091 0.000 1
311.550305 374.427939 0.000 1
311.554915 374.584791 0.000 1
311.559546 374.741639 0.000 1
311.564327 374.898478 0.000 1
311.569386 375.055302 0.000 1
311.574850 375.212103 0.000 1
311.580848 375.368877 0.000 1
311.587509 375.525617 0.000 1
311.594960 375.682316 0.000 1
311.603257 375.838973 0.000 1
311.612312 375.995592 0.000 1
311.622019 376.152179 0.000 1
311.632272 376.308739 0.000 1
311.642965 376.465277 0.000 1
311.653993 376.621800 0.000 1
311.665248 376.778312 0.000 1
311.676626 376.934820 0.000 1
311.688021 377.091329 0.000 1
311.699326 377.247843 0.000 1
311.710435 377.404370 0.000 1
311.721243 377.560915 0.000 1
311.731643 377.717482 0.000 1
311.741530 377.874078 0.000 1
311.750798 378.030708 0.000 1
311.759397 378.187375 0.000 1
311.767401 378.344074 0.000 1
311.774903 378.500800 0.000 1
311.781997 378.657549 0.000 1
311.788775 378.814314 0.000 1
311.795329 378.971091 0.000 1
311.801752 379.127874 0.000 1
311.808138 379.284659 0.000 1
311.814578 379.441440 0.000 1
311.821166 379.598212 0.000 1
311.827994 379.754970 0.000 1
311.835156 379.911708 0.000 1
311.842743 380.068422 0.000 1
311.850849 380.225106 0.000 1
311.859567 380.381755 0.000 1
311.868986 380.538364 0.000 1
311.879110 380.694933 0.000 1
311.889843 380.851467 0.000 1
311.901081 381.007972 0.000 1
311.912722 381.164454 0.000 1
311.924663 381.320918 0.000 1
311.936801 381.477370 0.000 1
311.949033 381.633817 0.000 1
311.961257 381.790263 0.000 1
311.973370 381.946714 0.000 1
311.985269 382.103177 0.000 1
311.996851 382.259656 0.000 1
312.008013 382.416159 0.000 1
312.018653 382.572689 0.000 1
312.028668 382.729254 0.000 1
312.037955 382.885859 0.000 1
312.046423 383.042509 0.000 1
312.054106 383.199202 0.000 1
312.061117 383.355932 0.000 1
312.067570 383.512694 0.000 1
312.073576 383.669481 0.000 1
312.079250 383.826288 0.000 1
312.084704 383.983108 0.000 1
312.090052 384.139936 0.000 1
312.095407 384.296765 0.000 1
312.100882 384.453589 0.000 1
312.106590 384.610403 0.000 1
312.112644 384.767201 0.000 1
312.119157 384.923976 0.000 1
312.126243 385.080722 0.000 1
312.134015 385.237434 0.000 1
312.142575 385.394107 0.000 1
312.151885 385.550741 0.000 1
312.161811 385.707343 0.000 1
312.172216 385.863919 0.000 1
312.182965 386.020477 0.000 1
312.193920 386.177023 0.000 1
312.204947 386.333562 0.000 1
312.215908 386.490102 0.000 1
312.226668 386.646649 0.000 1
312.237090 386.803209 0.000 1
312.247037 386.959790 0.000 1
312.256375 387.116397 0.000 1
312.264966 387.273037 0.000 1
312.272674 387.429717 0.000 1
312.279377 387.586442 0.000 1
312.285119 387.743211 0.000 1
312.290064 387.900017 0.000 1
312.294376 388.056853 0.000 1
312.298219 388.213712 0.000 1
312.301758 388.370587 0.000 1
312.305157 388.527471 0.000 1
312.308582 388.684358 0.000 1
312.312196 388.841240 0.000 1
312.316165 388.998110 0.000 1
312.320653 389.154961 0.000 1
312.325823 389.311788 0.000 1
312.331842 389.468581 0.000 1
312.338854 389.625337 0.000 1
312.346786 389.782055 0.000 1
312.355432 389.938745 0.000 1
312.364581 390.095412 0.000 1
312.374025 390.252065 0.000 1
312.383554 390.408710 0.000 1
312.392958 390.565355 0.000 1
312.402029 390.722008 0.000 1
312.410558 390.878675 0.000 1
312.418334 391.035364 0.000 1
312.425149 391.192082 0.000 1
312.430793 391.348837 0.000 1
312.435091 391.505634 0.000 1
312.438156 391.662472 0.000 1
312.440243 391.819342 0.000 1
312.441609 391.976238 0.000 1
312.442509 392.133152 0.000 1
312.443201 392.290077 0.000 1
312.443941 392.447007 0.000 1
312.444984 392.603932 0.000 1
312.446588 392.760848 0.000 1
312.449008 392.917745 0.000 1
312.452501 393.074618 0.000 1
312.457257 393.231459 0.000 1
312.463088 393.388274 0.000 1
312.469673 393.545067 0.000 1
312.476693 393.701846 0.000 1
312.483826 393.858618 0.000 1
312.490751 394.015388 0.000 1
312.497149 394.172164 0.000 1
312.502699 394.328951 0.000 1
312.507081 394.485757 0.000 1
312.509973 394.642588 0.000 1
312.511200 394.799447 0.000 1
312.511027 394.956331 0.000 1
312.509804 395.113233 0.000 1
312.507880 395.270147 0.000 1
312.505606 395.427067 0.000 1
312.503331 395.583988 0.000 1
312.501405 395.740902 0.000 1
312.500178 395.897804 0.000 1
312.500000 396.054688 0.000 1
312.504212 396.105118 0.000 1
312.507874 396.155620 0.000 1
312.511037 396.206188 0.000 1
312.513755 396.256813 0.000 1
312.516079 396.307491 0.000 1
312.518062 396.358213 0.000 1
312.519756 396.408972 0.000 1
312.521212 396.459763 0.000 1
312.522484 396.510578 0.000 1
312.523623 396.561410 0.000 1
312.524681 396.612253 0.000 1
312.525711 396.663100 0.000 1
312.526764 396.713943 0.000 1
312.527894 396.764777 0.000 1
312.529151 396.815593 0.000 1
312.530590 396.866387 0.000 1
312.532260 396.917149 0.000 1
312.534215 396.967875 0.000 1
312.536507 397.018556 0.000 1
312.539188 397.069187 0.000 1
312.542311 397.119760 0.000 1
312.545926 397.170268 0.000 1
312.550088 397.220705 0.000 1
312.554847 397.271064 0.000 1
312.560256 397.321338 0.000 1
312.566367 397.371520 0.000 1
312.573214 397.421604 0.000 1
312.580783 397.471591 0.000 1
312.589055 397.521479 0.000 1
312.598009 397.571267 0.000 1
312.607624 397.620955 0.000 1
312.617880 397.670542 0.000 1
312.628757 397.720028 0.000 1
312.640234 397.769411 0.000 1
312.652290 397.818693 0.000 1
312.664907 397.867870 0.000 1
312.678062 397.916945 0.000 1
312.691735 397.965914 0.000 1
312.705907 398.014779 0.000 1
312.720557 398.063538 0.000 1
312.735663 398.112190 0.000 1
312.751207 398.160736 0.000 1
312.767167 398.209174 0.000 1
312.783524 398.257505 0.000 1
312.800255 398.305726 0.000 1
312.817343 398.353838 0.000 1
312.834764 398.401840 0.000 1
312.852501 398.449731 0.000 1
312.870531 398.497512 0.000 1
312.888835 398.545180 0.000 1
312.907392 398.592736 0.000 1
312.926185 398.640179 0.000 1
312.945216 398.687503 0.000 1
312.964495 398.734702 0.000 1
312.984029 398.781771 0.000 1
313.003827 398.828704 0.000 1
313.023899 398.875494 0.000 1
313.044252 398.922137 0.000 1
313.064895 398.968625 0.000 1
313.085837 399.014952 0.000 1
313.107086 399.061114 0.000 1
313.128652 399.107103 0.000 1
313.150542 399.152914 0.000 1
313.172766 399.198542 0.000 1
313.195331 399.243979 0.000 1
313.218248 399.289220 0.000 1
313.241524 399.334259 0.000 1
313.265168 399.379090 0.000 1
313.289188 399.423707 0.000 1
313.313594 399.468104 0.000 1
313.338393 399.512276 0.000 1
313.363596 399.556215 0.000 1
313.389209 399.599917 0.000 1
313.415242 399.643375 0.000 1
313.441704 399.686583 0.000 1
313.468603 399.729536 0.000 1
313.495942 399.772228 0.000 1
313.523718 399.814657 0.000 1
313.551923 399.856822 0.000 1
313.580551 399.898720 0.000 1
313.609595 399.940350 0.000 1
313.639050 399.981709 0.000 1
313.668908 400.022796 0.000 1
313.699163 400.063609 0.000 1
313.729808 400.104145 0.000 1
313.760838 400.144403 0.000 1
313.792245 400.184381 0.000 1
313.824024 400.224077 0.000 1
313.856167 400.263489 0.000 1
313.888669 400.302614 0.000 1
313.921523 400.341452 0.000 1
313.954722 400.380000 0.000 1
313.988260 400.418257 0.000 1
314.022131 400.456219 0.000 1
314.056328 400.493886 0.000 1
314.090844 400.531255 0.000 1
314.125673 400.568325 0.000 1
314.160810 400.605093 0.000 1
314.196246 400.641558 0.000 1
314.231977 400.677717 0.000 1
314.267994 400.713569 0.000 1
