X Y Z CORTAR
238.265056 49.319519 0.000 1
236.795607 57.572615 0.000 1
235.943262 62.914215 0.000 1
235.856064 65.708912 0.000 1
236.380828 68.393328 0.000 1
238.012280 73.162856 0.000 1
241.299379 81.259137 0.000 1
245.166800 89.179648 0.000 1
249.674669 97.035820 0.000 1
254.882503 104.939527 0.000 1
257.622899 108.887988 0.000 1
260.384667 112.945831 0.000 1
262.802423 116.566441 0.000 1
264.320619 118.939527 0.000 1
267.141238 123.500000 0.000 1
266.598660 116.500000 0.000 1
266.320200 112.771396 0.000 1
265.899683 106.856250 0.000 1
265.432450 100.139058 0.000 1
264.981082 93.500000 0.000 1
264.534987 87.145861 0.000 1
264.083525 81.288243 0.000 1
263.671603 76.379838 0.000 1
263.435145 74.396146 0.000 1
261.899638 70.213220 0.000 1
246.336272 45.134903 0.000 1
231.295442 21.261336 0.000 1
226.167896 14.660724 0.000 1
223.139258 11.963638 0.000 1
220.006265 10.205386 0.000 1
215.909000 8.990434 0.000 1
209.578859 7.953840 0.000 1
197.910574 7.152991 0.000 1
174.692390 7.271078 0.000 1
151.084961 7.797137 0.000 1
143.000000 8.947829 0.000 1
141.016148 9.628280 0.000 1
138.840800 10.700500 0.000 1
136.787298 11.983481 0.000 1
135.175281 13.305916 0.000 1
130.872796 18.505110 0.000 1
115.223372 42.712272 0.000 1
99.590827 67.224990 0.000 1
97.063857 72.683810 0.000 1
96.666881 74.567719 0.000 1
96.108400 79.813369 0.000 1
95.545643 86.091931 0.000 1
95.044526 93.000000 0.000 1
94.568345 100.176567 0.000 1
94.081189 107.268750 0.000 1
93.645148 113.408120 0.000 1
93.367448 117.000000 0.000 1
92.831449 123.500000 0.000 1
95.618359 119.000000 0.000 1
97.126222 116.645149 0.000 1
99.551818 113.013073 0.000 1
102.329626 108.928987 0.000 1
NaN NaN NaN NaN
115.625156 170.425592 0.000 1
119.665254 168.516910 0.000 1
125.656051 165.538323 0.000 1
132.312052 162.149176 0.000 1
138.714593 158.807463 0.000 1
153.929186 150.763741 0.000 1
152.530530 148.059038 0.000 1
150.559903 145.072285 0.000 1
148.546392 143.844403 0.000 1
145.470435 143.754084 0.000 1
138.422960 144.998609 0.000 1
129.480516 146.858511 0.000 1
124.409528 148.230298 0.000 1
120.473515 149.823905 0.000 1
116.067780 152.231764 0.000 1
111.291155 155.546868 0.000 1
108.486331 158.632248 0.000 1
106.931423 162.319318 0.000 1
106.180212 167.510771 0.000 1
106.076408 170.163022 0.000 1
106.152750 172.218206 0.000 1
106.363873 173.676748 0.000 1
106.758661 174.000000 0.000 1
107.429185 173.874953 0.000 1
109.772250 172.950018 0.000 1
112.536038 171.795045 0.000 1
NaN NaN NaN NaN
119.069779 142.826651 0.000 1
126.445281 140.440102 0.000 1
136.819748 138.050576 0.000 1
147.062069 136.136090 0.000 1
151.022562 136.290815 0.000 1
152.317434 136.902894 0.000 1
153.792894 138.189380 0.000 1
155.378676 140.041889 0.000 1
157.022427 142.430811 0.000 1
159.209524 145.752411 0.000 1
160.429286 147.015894 0.000 1
161.669087 147.428973 0.000 1
163.500000 147.218876 0.000 1
168.154408 146.623220 0.000 1
179.585635 146.520371 0.000 1
190.969253 146.663402 0.000 1
196.083105 147.264003 0.000 1
198.174295 147.618267 0.000 1
199.275480 147.486384 0.000 1
200.051726 146.867520 0.000 1
200.839877 145.452087 0.000 1
201.480092 144.224640 0.000 1
202.474602 142.622916 0.000 1
203.620456 140.943095 0.000 1
204.756772 139.438114 0.000 1
207.413108 137.054930 0.000 1
210.324806 136.134029 0.000 1
214.886689 136.437760 0.000 1
225.264287 138.463666 0.000 1
234.333157 140.719608 0.000 1
241.975328 143.435019 0.000 1
248.394925 146.677218 0.000 1
