X Y Z CORTAR
NaN NaN NaN NaN
NaN NaN NaN NaN
43.645803 182.099736 0.000 1
43.763720 182.099341 0.000 1
43.881637 182.098942 0.000 1
43.999554 182.098539 0.000 1
44.117471 182.098131 0.000 1
44.235388 182.097719 0.000 1
44.353305 182.097304 0.000 1
44.471222 182.096883 0.000 1
44.589139 182.096459 0.000 1
44.707056 182.096030 0.000 1
44.824973 182.095598 0.000 1
44.942890 182.095161 0.000 1
45.060807 182.094719 0.000 1
45.178724 182.094274 0.000 1
45.296640 182.093824 0.000 1
45.414557 182.093370 0.000 1
45.532474 182.092912 0.000 1
45.650391 182.092450 0.000 1
45.768307 182.091983 0.000 1
45.886224 182.091513 0.000 1
46.004141 182.091038 0.000 1
46.122058 182.090559 0.000 1
46.239974 182.090075 0.000 1
46.357891 182.089587 0.000 1
46.475808 182.089096 0.000 1
46.593724 182.088599 0.000 1
46.711641 182.088099 0.000 1
46.753843 182.087909 0.000 1
46.796045 182.087697 0.000 1
46.838247 182.087463 0.000 1
46.880449 182.087208 0.000 1
46.922651 182.086932 0.000 1
46.964852 182.086635 0.000 1
47.007054 182.086316 0.000 1
47.049255 182.085975 0.000 1
47.091456 182.085613 0.000 1
47.133657 182.085230 0.000 1
47.175858 182.084826 0.000 1
47.218058 182.084399 0.000 1
47.260259 182.083952 0.000 1
47.302459 182.083483 0.000 1
47.344658 182.082993 0.000 1
47.386858 182.082481 0.000 1
47.429057 182.081948 0.000 1
47.471256 182.081394 0.000 1
47.513455 182.080818 0.000 1
47.555653 182.080220 0.000 1
47.597851 182.079602 0.000 1
47.640049 182.078962 0.000 1
47.682247 182.078300 0.000 1
47.724444 182.077617 0.000 1
47.766641 182.076913 0.000 1
47.808837 182.076187 0.000 1
47.851033 182.075440 0.000 1
47.893229 182.074671 0.000 1
47.935424 182.073881 0.000 1
47.977619 182.073070 0.000 1
48.019813 182.072237 0.000 1
48.062007 182.071383 0.000 1
48.104201 182.070507 0.000 1
48.146394 182.069610 0.000 1
48.188587 182.068692 0.000 1
48.230779 182.067752 0.000 1
48.272970 182.066791 0.000 1
48.315162 182.065808 0.000 1
48.357352 182.064804 0.000 1
48.399542 182.063779 0.000 1
48.441732 182.062732 0.000 1
48.483921 182.061664 0.000 1
48.526110 182.060574 0.000 1
48.568298 182.059463 0.000 1
48.610485 182.058331 0.000 1
48.652672 182.057177 0.000 1
48.694858 182.056002 0.000 1
48.737044 182.054805 0.000 1
48.779229 182.053587 0.000 1
48.821414 182.052348 0.000 1
48.863597 182.051087 0.000 1
48.905781 182.049805 0.000 1
48.947963 182.048501 0.000 1
48.990145 182.047176 0.000 1
49.032326 182.045830 0.000 1
49.074507 182.044462 0.000 1
49.116686 182.043073 0.000 1
49.158865 182.041662 0.000 1
49.201044 182.040230 0.000 1
49.243221 182.038777 0.000 1
49.285398 182.037302 0.000 1
49.327574 182.035806 0.000 1
49.369750 182.034288 0.000 1
49.411924 182.032749 0.000 1
49.454098 182.031189 0.000 1
49.496271 182.029607 0.000 1
49.538443 182.028004 0.000 1
49.580615 182.026379 0.000 1
49.622785 182.024733 0.000 1
49.664955 182.023066 0.000 1
49.707124 182.021377 0.000 1
49.749292 182.019667 0.000 1
49.791459 182.017936 0.000 1
49.833625 182.016183 0.000 1
49.875790 182.014408 0.000 1
49.917955 182.012613 0.000 1
49.960118 182.010796 0.000 1
50.002281 182.008957 0.000 1
50.044442 182.007097 0.000 1
50.086603 182.005216 0.000 1
50.128763 182.003314 0.000 1
50.170922 182.001389 0.000 1
50.213079 181.999444 0.000 1
50.255236 181.997477 0.000 1
50.297392 181.995489 0.000 1
50.339547 181.993480 0.000 1
50.381701 181.991449 0.000 1
50.423853 181.989396 0.000 1
50.466005 181.987323 0.000 1
50.508155 181.985227 0.000 1
50.550305 181.983111 0.000 1
